candidate_id,cip_rank,CIP2020Code,CIP2020Title,cip_recommendation_percentage,supporting_occupations,best_occupation_rank,adjusted_cip_score
Candidate_012,1,11.0102,Artificial Intelligence.,68.66966580976863,1,1,68.66966580976863
Candidate_012,2,11.0103,Information Technology.,68.66966580976863,2,1,68.66966580976863
Candidate_012,3,11.0104,Informatics.,68.66966580976863,2,1,68.66966580976863
Candidate_012,4,11.0201,"Computer Programming/Programmer, General.",68.66966580976863,2,1,68.66966580976863
Candidate_012,5,11.0202,"Computer Programming, Specific Applications.",68.66966580976863,2,1,68.66966580976863
Candidate_013,1,11.0102,Artificial Intelligence.,52.217223650385606,1,1,52.217223650385606
Candidate_013,2,11.0103,Information Technology.,52.217223650385606,1,1,52.217223650385606
Candidate_013,3,11.0104,Informatics.,52.217223650385606,1,1,52.217223650385606
Candidate_013,4,11.0201,"Computer Programming/Programmer, General.",52.217223650385606,1,1,52.217223650385606
Candidate_013,5,11.0202,"Computer Programming, Specific Applications.",52.217223650385606,1,1,52.217223650385606
Candidate_014,1,11.0102,Artificial Intelligence.,59.029562982005146,1,1,59.029562982005146
Candidate_014,2,11.0103,Information Technology.,59.029562982005146,2,1,59.029562982005146
Candidate_014,3,11.0104,Informatics.,59.029562982005146,2,1,59.029562982005146
Candidate_014,4,11.0201,"Computer Programming/Programmer, General.",59.029562982005146,2,1,59.029562982005146
Candidate_014,5,11.0202,"Computer Programming, Specific Applications.",59.029562982005146,2,1,59.029562982005146
Candidate_015,1,12.05,"Cooking and Related Culinary Arts, General.",100.00000000000003,1,1,100.00000000000003
Candidate_015,2,12.0503,Culinary Arts/Chef Training.,100.00000000000003,1,1,100.00000000000003
Candidate_015,3,12.0504,"Restaurant, Culinary, and Catering Management/Manager.",100.00000000000003,1,1,100.00000000000003
Candidate_015,4,12.0507,"Food Service, Waiter/Waitress, and Dining Room Management/Manager.",100.00000000000003,1,1,100.00000000000003
Candidate_015,5,19.0505,Foodservice Systems Administration/Management.,100.00000000000003,1,1,100.00000000000003
Candidate_016,1,11.0102,Artificial Intelligence.,79.9164524421594,1,1,79.9164524421594
Candidate_016,2,11.0103,Information Technology.,79.9164524421594,2,1,79.9164524421594
Candidate_016,3,11.0104,Informatics.,79.9164524421594,2,1,79.9164524421594
Candidate_016,4,11.0201,"Computer Programming/Programmer, General.",79.9164524421594,2,1,79.9164524421594
Candidate_016,5,11.0202,"Computer Programming, Specific Applications.",79.9164524421594,2,1,79.9164524421594
Candidate_017,1,52.0401,"Administrative Assistant and Secretarial Science, General.",86.15126050420167,3,1,86.15126050420167
Candidate_017,2,52.0402,Executive Assistant/Executive Secretary.,86.15126050420167,3,1,86.15126050420167
Candidate_017,3,1.0106,Agricultural Business Technology/Technician.,85.79545454545455,2,3,85.79545454545455
Candidate_017,4,1.8201,"Veterinary Administrative Services, General.",85.79545454545455,2,3,85.79545454545455
Candidate_017,5,1.8202,Veterinary Office Management/Administration.,85.79545454545455,2,3,85.79545454545455
Candidate_018,1,12.05,"Cooking and Related Culinary Arts, General.",100.00000000000003,1,1,100.00000000000003
Candidate_018,2,12.0503,Culinary Arts/Chef Training.,100.00000000000003,1,1,100.00000000000003
Candidate_018,3,12.0504,"Restaurant, Culinary, and Catering Management/Manager.",100.00000000000003,1,1,100.00000000000003
Candidate_018,4,12.0507,"Food Service, Waiter/Waitress, and Dining Room Management/Manager.",100.00000000000003,1,1,100.00000000000003
Candidate_018,5,19.0505,Foodservice Systems Administration/Management.,100.00000000000003,1,1,100.00000000000003
Candidate_019,1,1.0106,Agricultural Business Technology/Technician.,74.10071942446042,2,1,74.10071942446042
Candidate_019,2,1.8201,"Veterinary Administrative Services, General.",74.10071942446042,2,1,74.10071942446042
Candidate_019,3,1.8202,Veterinary Office Management/Administration.,74.10071942446042,2,1,74.10071942446042
Candidate_019,4,1.8203,Veterinary Reception/Receptionist.,74.10071942446042,2,1,74.10071942446042
Candidate_019,5,1.8204,Veterinary Administrative/Executive Assistant and Veterinary Secretary.,74.10071942446042,2,1,74.10071942446042
Candidate_020,1,52.0302,Accounting Technology/Technician and Bookkeeping.,62.85410764872521,1,1,62.85410764872521
Candidate_020,2,11.0102,Artificial Intelligence.,62.660668380462724,1,2,62.660668380462724
Candidate_020,3,11.0103,Information Technology.,62.660668380462724,1,2,62.660668380462724
Candidate_020,4,11.0104,Informatics.,62.660668380462724,1,2,62.660668380462724
Candidate_020,5,11.0201,"Computer Programming/Programmer, General.",62.660668380462724,1,2,62.660668380462724
Candidate_021,1,52.0302,Accounting Technology/Technician and Bookkeeping.,62.85410764872521,1,1,62.85410764872521
Candidate_021,2,11.0102,Artificial Intelligence.,62.660668380462724,1,2,62.660668380462724
Candidate_021,3,11.0103,Information Technology.,62.660668380462724,1,2,62.660668380462724
Candidate_021,4,11.0104,Informatics.,62.660668380462724,1,2,62.660668380462724
Candidate_021,5,11.0201,"Computer Programming/Programmer, General.",62.660668380462724,1,2,62.660668380462724
Candidate_022,1,1.0106,Agricultural Business Technology/Technician.,97.12230215827337,1,1,97.12230215827337
Candidate_022,2,1.8201,"Veterinary Administrative Services, General.",97.12230215827337,1,1,97.12230215827337
Candidate_022,3,1.8202,Veterinary Office Management/Administration.,97.12230215827337,1,1,97.12230215827337
Candidate_022,4,1.8203,Veterinary Reception/Receptionist.,97.12230215827337,1,1,97.12230215827337
Candidate_022,5,1.8204,Veterinary Administrative/Executive Assistant and Veterinary Secretary.,97.12230215827337,1,1,97.12230215827337
Candidate_023,1,1.0106,Agricultural Business Technology/Technician.,54.67625899280575,2,1,54.67625899280575
Candidate_023,2,1.8201,"Veterinary Administrative Services, General.",54.67625899280575,2,1,54.67625899280575
Candidate_023,3,1.8202,Veterinary Office Management/Administration.,54.67625899280575,2,1,54.67625899280575
Candidate_023,4,1.8203,Veterinary Reception/Receptionist.,54.67625899280575,2,1,54.67625899280575
Candidate_023,5,1.8204,Veterinary Administrative/Executive Assistant and Veterinary Secretary.,54.67625899280575,2,1,54.67625899280575
Candidate_024,1,1.0106,Agricultural Business Technology/Technician.,74.10071942446042,2,1,74.10071942446042
Candidate_024,2,1.8201,"Veterinary Administrative Services, General.",74.10071942446042,2,1,74.10071942446042
Candidate_024,3,1.8202,Veterinary Office Management/Administration.,74.10071942446042,2,1,74.10071942446042
Candidate_024,4,1.8203,Veterinary Reception/Receptionist.,74.10071942446042,2,1,74.10071942446042
Candidate_024,5,1.8204,Veterinary Administrative/Executive Assistant and Veterinary Secretary.,74.10071942446042,2,1,74.10071942446042
Candidate_025,1,11.0102,Artificial Intelligence.,69.47300771208226,1,1,69.47300771208226
Candidate_025,2,11.0103,Information Technology.,69.47300771208226,2,1,69.47300771208226
Candidate_025,3,11.0104,Informatics.,69.47300771208226,2,1,69.47300771208226
Candidate_025,4,11.0201,"Computer Programming/Programmer, General.",69.47300771208226,2,1,69.47300771208226
Candidate_025,5,11.0202,"Computer Programming, Specific Applications.",69.47300771208226,2,1,69.47300771208226
Candidate_026,1,11.0102,Artificial Intelligence.,68.66966580976863,1,1,68.66966580976863
Candidate_026,2,11.0103,Information Technology.,68.66966580976863,2,1,68.66966580976863
