candidate_id,selected_occupation,recommendation_score,recommendation_percentage,skill_normalized_score,skill_percentage,tfidf_similarity_score,tfidf_normalized_score,tfidf_percentage,semantic_similarity_score,semantic_normalized_score,semantic_percentage,posting_count,total_vacancies,province_count,demand_score,demand_percentage,education_score,education_percentage,candidate_match_score,final_hybrid_score,final_hybrid_percentage,final_hybrid_rank,demand_adjusted_score,demand_adjusted_rank,education_adjusted_score,education_adjusted_rank,tfidf_demand_score,tfidf_demand_rank,tfidf_education_score,tfidf_education_rank
Candidate_001,Software Developer,0.6947300771208227,69.47300771208226,1.0,100.0,0.014418958252602254,0.3958074065296681,39.58,0.5054786205291748,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.7,0.8458171720921132,84.58,1,0.8458171720921133,1,1.0,1,0.3624630973158477,3,0.45622666587670135,2
Candidate_002,Software Developer,0.5382390745501285,53.82390745501285,0.8189766486101043,81.9,0.01584548681107333,1.0,100.0,0.5188846588134766,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.6366418270135366,0.7824589991056498,78.25,1,0.773407831536155,1,0.918539491874547,1,0.8458171720921133,1,1.0,1
Candidate_003,Administrative Assistant,0.8991596638655464,89.91596638655463,1.0,100.0,0.01529515965585502,0.48338193597626333,48.34,0.49100974202156067,0.5875608276251357,58.76,812,890,11,0.4384514673595585,43.85,1.0,100.0,0.5556462896687975,0.7433365831407092,74.33,1,0.722714624521966,1,0.8144023724313111,1,0.4743958422529224,8,0.535043742378637,5
Candidate_004,Software Developer,0.7911311053984575,79.11311053984575,1.0,100.0,0.00734348075028064,0.1995301060984323,19.95,0.5367646813392639,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.7,0.8458171720921132,84.58,1,0.8458171720921133,1,1.0,1,0.20544125697085902,7,0.2795770954885891,3
Candidate_005,Software Developer,0.522172236503856,52.217223650385606,1.0,100.0,0.018516807771757106,1.0,100.0,0.5448724031448364,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.7,0.8458171720921132,84.58,1,0.8458171720921133,1,1.0,1,0.8458171720921133,1,1.0,1
Candidate_006,Software Developer,0.9035989717223648,90.35989717223649,1.0,100.0,0.011454150248533187,0.7478347775661485,74.78,0.5843331217765808,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.7,0.8458171720921132,84.58,1,0.8458171720921133,1,1.0,1,0.6440849941450321,2,0.7730512998095336,2
Candidate_007,Food Service Supervisor,1.0000000000000002,100.00000000000004,1.0,100.0,0.007114203718892054,0.11252651668710079,11.25,0.49485427141189575,0.4469874752372369,44.7,1061,2524,12,0.6833380235893983,68.33,1.0,100.0,0.5064456163330329,0.7431132210509125,74.31,1,0.7154625948127744,1,0.7511443638567566,2,0.2266888180675603,9,0.20127386501839073,6
Candidate_008,Software Developer,0.6866966580976863,68.66966580976863,1.0,100.0,0.008230082198848366,1.0,100.0,0.5545650720596313,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.7,0.8458171720921132,84.58,1,0.8458171720921133,1,1.0,1,0.8458171720921133,1,1.0,1
Candidate_009,Administrative Assistant,0.2564705882352941,25.647058823529413,1.0,100.0,0.00683458377723176,0.25047505248065627,25.05,0.5320426821708679,0.5832858049989158,58.33,812,890,11,0.4384514673595585,43.85,1.0,100.0,0.5541500317496205,0.7418403252215322,74.18,1,0.7210046154714781,1,0.8124786122495121,1,0.28807033545643673,9,0.32542754723259065,8
Candidate_010,Food Service Supervisor,0.9677419354838712,96.77419354838712,0.9265716945519203,92.66,0.005568922523791259,0.09892603011616166,9.89,0.46308445930480957,0.4575172719701541,45.75,1061,2524,12,0.6833380235893983,68.33,1.0,100.0,0.484431138282726,0.7210987430006056,72.11,1,0.6903031913267095,2,0.7228400349349335,3,0.215808428810809,10,0.18903342710454552,6
Candidate_011,Office Manager,0.6618705035971223,66.18705035971223,1.0,100.0,0.007110796388540293,0.6270497104047328,62.7,0.4747055768966675,0.46191641638143716,46.19,676,1709,13,0.5286438829565303,52.86,1.0,100.0,0.511670745733503,0.7173995223248091,71.74,1,0.690495343143881,1,0.7578623873716467,1,0.6073685449150923,2,0.6643447393642595,2
Candidate_012,Software Developer,0.6866966580976863,68.66966580976863,1.0,100.0,0.01763013982977178,0.38550913268729015,38.55,0.5042888522148132,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.7,0.8458171720921132,84.58,1,0.8458171720921133,1,1.0,1,0.3542244782419453,3,0.4469582194185612,2
Candidate_013,Software Developer,0.522172236503856,52.217223650385606,1.0,100.0,0.010685755559634767,1.0,100.0,0.5567449927330017,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.7,0.8458171720921132,84.58,1,0.8458171720921133,1,1.0,1,0.8458171720921133,1,1.0,1
Candidate_014,Software Developer,0.5902956298200515,59.029562982005146,1.0,100.0,0.017485537280276416,1.0,100.0,0.5730345249176025,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.7,0.8458171720921132,84.58,1,0.8458171720921133,1,1.0,1,0.8458171720921133,1,1.0,1
Candidate_015,Food Service Supervisor,1.0000000000000002,100.00000000000004,1.0,100.0,0.0054782707276816115,0.10648374950148347,10.65,0.4971331059932709,0.48795903361245896,48.8,1061,2524,12,0.6833380235893983,68.33,1.0,100.0,0.5207856617643606,0.7574532664822402,75.75,1,0.7318512181628632,1,0.7695815651256065,2,0.22185460431906645,11,0.19583537455133512,8
Candidate_016,Software Developer,0.7991645244215939,79.9164524421594,1.0,100.0,0.014986925205727787,1.0,100.0,0.5535390377044678,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.7,0.8458171720921132,84.58,1,0.8458171720921133,1,1.0,1,0.8458171720921133,1,1.0,1
Candidate_017,Administrative Assistant,0.8615126050420168,86.15126050420167,1.0,100.0,0.013405352943678122,0.3930377241714825,39.3,0.4452670216560364,0.47100696820171023,47.1,812,890,11,0.4384514673595585,43.85,1.0,100.0,0.5148524388705986,0.7025427323425103,70.25,1,0.6760930807525958,1,0.7619531356907696,1,0.40212047280909774,7,0.4537339517543343,5
Candidate_018,Food Service Supervisor,1.0000000000000002,100.00000000000004,1.0,100.0,0.0062052811986885005,0.06367301588112868,6.37,0.43658238649368286,0.567944745471569,56.79,1061,2524,12,0.6833380235893983,68.33,1.0,100.0,0.5487806609150492,0.7854482656329288,78.54,1,0.7638455029065073,1,0.805575135462206,1,0.18760601742278263,8,0.15730571429301582,6
Candidate_019,Office Manager,0.7410071942446043,74.10071942446042,1.0,100.0,0.002724424914174751,0.16359317668778076,16.36,0.4725610315799713,0.4725418681868969,47.25,676,1709,13,0.5286438829565303,52.86,1.0,100.0,0.5153896538654139,0.72111843045672,72.11,1,0.6947455238660649,1,0.7626438406841036,2,0.23660331794153067,11,0.2472338590190027,7
Candidate_020,Software Developer,0.6266066838046273,62.66066838046272,0.9586203053787364,95.86,0.009251413207683239,0.8993042688439005,89.93,0.559788703918457,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.6855171068825577,0.8313342789746709,83.13,1,0.8292652942436078,1,0.9813791374204314,1,0.7652605871672337,3,0.9093738419595104,1
Candidate_021,Software Developer,0.6266066838046273,62.66066838046272,0.9586203053787364,95.86,0.016680239247917693,1.0,100.0,0.5134023427963257,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.6855171068825577,0.8313342789746709,83.13,1,0.8292652942436078,1,0.9813791374204314,1,0.8458171720921133,1,1.0,1
Candidate_022,Food Service Supervisor,0.9677419354838712,96.77419354838712,0.9265716945519203,92.66,0.005632480610664006,0.09892603011616166,9.89,0.4737532138824463,0.4774474333835969,47.74,1061,2524,12,0.6833380235893983,68.33,1.0,100.0,0.49140669477743104,0.7280742994953107,72.81,1,0.6982752558920866,1,0.7318086075709828,3,0.215808428810809,10,0.18903342710454552,6
Candidate_023,Software Developer,0.5382390745501285,53.82390745501285,0.8189766486101043,81.9,0.008534637827301295,1.0,100.0,0.539140522480011,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.6366418270135366,0.7824589991056498,78.25,1,0.773407831536155,1,0.918539491874547,1,0.8458171720921133,1,1.0,1
Candidate_024,Software Developer,0.7230077120822622,72.30077120822622,0.6107545962375409,61.08,0.006068304253077694,0.43595599020769465,43.6,0.5501784682273865,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.5637641086831393,0.7095812807752525,70.96,1,0.6901190105871297,1,0.8248395683068934,1,0.3945819642582689,2,0.4923603911869252,2
Candidate_025,Software Developer,0.6947300771208227,69.47300771208226,1.0,100.0,0.05380313573695611,0.7010232727131629,70.1,0.5390834212303162,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.7,0.8458171720921132,84.58,1,0.8458171720921133,1,1.0,1,0.6066357902626436,2,0.7309209454418466,2
Candidate_026,Software Developer,0.6866966580976863,68.66966580976863,1.0,100.0,0.006810926252558646,0.9868199330889987,98.68,0.5320634245872498,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.7,0.8458171720921132,84.58,1,0.8458171720921133,1,1.0,1,0.8352731185633122,2,0.9881379397800989,1
Candidate_027,Software Developer,0.5382390745501285,53.82390745501285,0.8189766486101043,81.9,0.008715874843588059,1.0,100.0,0.5257705450057983,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.6366418270135366,0.7824589991056498,78.25,1,0.773407831536155,1,0.918539491874547,1,0.8458171720921133,1,1.0,1
Candidate_028,Software Developer,0.5382390745501285,53.82390745501285,0.8189766486101043,81.9,0.010359944539758125,1.0,100.0,0.5967705249786377,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.6366418270135366,0.7824589991056498,78.25,1,0.773407831536155,1,0.918539491874547,1,0.8458171720921133,1,1.0,1
Candidate_029,Administrative Assistant,1.0000000000000002,100.00000000000004,1.0,100.0,0.004147556834369521,0.3283002794688168,32.83,0.47319984436035156,0.4844576405510844,48.45,812,890,11,0.4384514673595585,43.85,1.0,100.0,0.5195601741928795,0.7072504676647912,70.73,1,0.6814733496923455,1,0.768005938247988,1,0.35033051704696516,7,0.39547025152193516,5
Candidate_030,Software Developer,0.5382390745501285,53.82390745501285,0.8189766486101043,81.9,0.024865909032128833,1.0,100.0,0.5257195830345154,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.6366418270135366,0.7824589991056498,78.25,1,0.773407831536155,1,0.918539491874547,1,0.8458171720921133,1,1.0,1
Candidate_031,Administrative Assistant,0.8615126050420168,86.15126050420167,1.0,100.0,0.010343838555150538,0.4414013548313465,44.14,0.47694677114486694,0.5599831659431824,56.0,812,890,11,0.4384514673595585,43.85,1.0,100.0,0.5459941080801138,0.7336844015520255,73.37,1,0.7116835598491847,3,0.8019924246744321,1,0.44081137733698894,9,0.4972612193482119,6
Candidate_032,Food Service Supervisor,1.0000000000000002,100.00000000000004,1.0,100.0,0.004967714726294157,0.10648374950148347,10.65,0.512231171131134,0.5724675675702143,57.25,1061,2524,12,0.6833380235893983,68.33,1.0,100.0,0.550363648649575,0.7870312533674546,78.7,1,0.7656546317459654,1,0.8076104054065965,1,0.22185460431906645,11,0.19583537455133512,8
Candidate_033,Administrative Assistant,0.8991596638655464,89.91596638655463,1.0,100.0,0.003243761133253948,0.3277063853421155,32.77,0.5070410966873169,0.547006340348158,54.7,812,890,11,0.4384514673595585,43.85,1.0,100.0,0.5414522191218553,0.729142512593767,72.91,1,0.706492829611175,1,0.7961528531566711,1,0.3498554017456041,6,0.394935746807904,6
Candidate_034,Food Service Supervisor,0.9677419354838712,96.77419354838712,0.9265716945519203,92.66,0.005616451041686373,0.0989260301161617,9.89,0.4877152740955353,0.46199668162962176,46.2,1061,2524,12,0.6833380235893983,68.33,1.0,100.0,0.4859989316635397,0.7226665363814193,72.27,1,0.6920949551904965,1,0.7248557692816939,3,0.21580842881080903,10,0.18903342710454554,6
Candidate_035,Software Developer,0.9035989717223648,90.35989717223649,1.0,100.0,0.010539696593876742,0.24817049965426421,24.82,0.5767745971679688,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.7,0.8458171720921132,84.58,1,0.8458171720921133,1,1.0,1,0.24435357181552458,6,0.32335344968883784,2
Candidate_036,Administrative Assistant,0.8991596638655464,89.91596638655463,1.0,100.0,0.006067905569308137,0.46192500850952123,46.19,0.48336872458457947,0.602512544305148,60.25,812,890,11,0.4384514673595585,43.85,1.0,100.0,0.5608793905068018,0.7485696839787135,74.86,1,0.7286953111939709,1,0.8211306449373166,1,0.4572303002795287,5,0.5157325076585692,5
Candidate_037,Software Developer,0.7911311053984575,79.11311053984575,1.0,100.0,0.015770876223761887,1.0,100.0,0.5141440629959106,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.7,0.8458171720921132,84.58,1,0.8458171720921133,1,1.0,1,0.8458171720921133,1,1.0,1
Candidate_038,Software Developer,0.6947300771208227,69.47300771208226,1.0,100.0,0.012920121526870202,0.3348999300289669,33.49,0.5489099025726318,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.7,0.8458171720921132,84.58,1,0.8458171720921133,1,1.0,1,0.3137371161152867,2,0.4014099370260702,2
Candidate_039,Food Service Supervisor,1.0000000000000002,100.00000000000004,1.0,100.0,0.005868861903651174,0.2890804435198188,28.91,0.4818176329135895,0.513889172419043,51.39,1061,2524,12,0.6833380235893983,68.33,1.0,100.0,0.529861210346665,0.7665288150645446,76.65,1,0.7422232736854969,1,0.7812501275885694,1,0.3679319595337347,9,0.36017239916783694,7
Candidate_040,Software Developer,0.5902956298200515,59.029562982005146,1.0,100.0,0.013350325254880713,1.0,100.0,0.5597214102745056,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.7,0.8458171720921132,84.58,1,0.8458171720921133,1,1.0,1,0.8458171720921133,1,1.0,1
