candidate_id,selected_occupation,recommendation_score,recommendation_percentage,skill_normalized_score,skill_percentage,tfidf_similarity_score,tfidf_normalized_score,tfidf_percentage,semantic_similarity_score,semantic_normalized_score,semantic_percentage,posting_count,total_vacancies,province_count,demand_score,demand_percentage,education_score,education_percentage,candidate_match_score,final_hybrid_score,final_hybrid_percentage,final_hybrid_rank,demand_adjusted_score,demand_adjusted_rank,education_adjusted_score,education_adjusted_rank,tfidf_demand_score,tfidf_demand_rank,tfidf_education_score,tfidf_education_rank,low_final_score_flag,skill_semantic_gap,large_model_disagreement_flag,demand_candidate_mismatch,education_candidate_mismatch,demand_lift,education_lift
Candidate_001,Licensed Practical Nurse (L.P.N.),0.6615295143937191,66.1529514393719,0.515402242745367,51.54,0.006018474990310616,0.02861161058354258,2.86,0.4085945785045624,0.19771289776696946,19.77,437,527,10,0.3039192124973743,30.39,1.0,100.0,0.3565575702561682,0.4103741416787926,41.04,7,0.3460298987044095,12,0.4209018132305514,7,0.08367313096630893,15,0.12575044952518832,6,False,0.3176893449783975,True,False,False,0.06078384249947486,0.1
Candidate_001,"Driver, Truck",0.6435643564356435,64.35643564356435,0.25318152899518853,25.32,0.005732760672261172,0.01612267475049268,1.61,0.4125099778175354,0.23013592949898903,23.01,1423,3705,12,0.8880268984746598,88.8,0.0,0.0,0.24165872924708878,0.34676649016789407,34.68,9,0.370932363092603,11,0.2174928563223799,12,0.1905035194953261,7,0.01451040727544341,14,False,0.023045599496199498,False,True,False,0.17760537969493195,0.0
Candidate_001,Food Service Supervisor,0.6287096774193549,62.87096774193549,0.036361585453861166,3.64,0.006494618631253587,0.04942445405476987,4.94,0.4521232843399048,0.5581697752754362,55.82,1061,2524,12,0.6833380235893983,68.33,0.0,0.0,0.2972656803646487,0.34475358097313374,34.48,10,0.37448014900959864,9,0.26753911232818384,11,0.17620716796169555,8,0.04448200864929288,9,False,0.5218081898215751,True,False,False,0.13666760471787967,0.0
Candidate_001,Continuing Care Assistant,0.6395304080061586,63.95304080061586,0.19430173295446118,19.43,0.005946846330024389,0.025480630840458075,2.55,0.4491218030452728,0.5333148076259117,53.33,819,1172,9,0.4396201180333152,43.96,0.0,0.0,0.3638082702901864,0.3425898128097935,34.26,11,0.3789706398388122,8,0.3274274432611678,9,0.10830852827902951,14,0.022932567756412267,13,False,0.3390130746714505,True,False,False,0.08792402360666304,0.0
Candidate_001,Administrative Assistant,0.626218487394958,62.6218487394958,0.0,0.0,0.014889534279604988,0.41637688252208815,41.64,0.4705461263656616,0.7107274951524262,71.07,812,890,11,0.4384514673595585,43.85,0.0,0.0,0.3553637475762131,0.33644491677526084,33.64,12,0.3719812915328822,10,0.3198273728185918,10,0.42079179948958223,2,0.37473919426987934,3,True,0.7107274951524262,True,False,False,0.0876902934719117,0.0
Candidate_001,Inside Sales Representative,0.6361746361746362,63.61746361746362,0.14532065041134984,14.53,0.006304343108831278,0.04110726923058812,4.11,0.4169851839542389,0.2671946657808549,26.72,1876,2449,13,0.8643994601889338,86.44,0.0,0.0,0.20625765809610236,0.3172602527050584,31.73,13,0.33788601851466865,13,0.18563189228649213,13,0.20576570742225725,5,0.03699654230752931,10,True,0.12187401536950504,False,True,False,0.17287989203778675,0.0
Candidate_001,Retail Sales Associate,0.6361746361746362,63.61746361746362,0.14532065041134984,14.53,0.006297158114685646,0.04079320400817212,4.08,0.41468751430511475,0.24816789226725292,24.82,1876,2449,13,0.8643994601889338,86.44,0.0,0.0,0.1967442713393014,0.3106008819752977,31.06,14,0.33027530910922787,14,0.17706984420537125,14,0.20551445524432446,6,0.03671388360735491,11,True,0.10284724185590308,False,True,False,0.17287989203778675,0.0
Candidate_001,Delivery Driver,0.6360808709175739,63.60808709175739,0.14395204610020385,14.4,0.007812878992298242,0.1070472892446073,10.7,0.38471880555152893,0.0,0.0,557,622,12,0.3705312074675783,37.05,0.0,0.0,0.07197602305010192,0.12448945762858701,12.45,15,0.1316870599335972,15,0.06477842074509173,15,0.1597440728892015,9,0.09634256032014657,7,True,0.14395204610020385,False,False,False,0.07410624149351566,0.0
Candidate_002,Office Manager,0.5467625899280575,54.67625899280575,1.0,100.0,0.007630782908994734,0.22675997774008175,22.68,0.4099811613559723,0.33009403848508867,33.01,676,1709,13,0.5286438829565303,52.86,1.0,100.0,0.6650470192425444,0.671261690061087,67.13,2,0.6377663919853416,2,0.6985423173182899,3,0.28713675878337147,9,0.3040839799660736,6,False,0.6699059615149113,True,False,False,0.10572877659130607,0.1
Candidate_002,Office Administrator,0.5382775119617226,53.82775119617226,0.8197929865595287,81.98,0.00615060045484842,0.0874322152989754,8.74,0.41645339131355286,0.36990713479607273,36.99,676,1709,13,0.5286438829565303,52.86,1.0,100.0,0.5948500606778007,0.6221238190657665,62.21,4,0.5816088251335467,4,0.6353650546100206,5,0.1756745488304864,14,0.17868899376907788,12,False,0.44988585176345597,True,False,False,0.10572877659130607,0.1
Candidate_002,"Driver, Truck",0.5247524752475247,52.47524752475247,0.5325467782620326,53.25,0.00660418776221486,0.13012783328176053,13.01,0.3801620304584503,0.14666546160914046,14.67,1423,3705,12,0.8880268984746598,88.8,0.0,0.0,0.33960611993558654,0.4153296636498425,41.53,7,0.4492902756434012,7,0.3056455079420279,7,0.2817076463203404,11,0.11711504995358447,14,False,0.3858813166528921,True,False,False,0.17760537969493195,0.0
Candidate_002,Inside Sales Representative,0.5107415107415108,51.07415107415108,0.23498038240016592,23.5,0.008604934042116274,0.31845563139216604,31.85,0.39163583517074585,0.21724510650093093,21.72,1876,2449,13,0.8643994601889338,86.44,0.0,0.0,0.2261127444505484,0.33115881315317064,33.12,8,0.3537700875982255,8,0.20350147000549357,10,0.4276443971515196,5,0.28661006825294943,8,False,0.017735275899234987,False,True,False,0.17287989203778675,0.0
Candidate_002,Retail Sales Associate,0.5107415107415108,51.07415107415108,0.23498038240016592,23.5,0.008595127088457685,0.31753251484948086,31.75,0.3868086040019989,0.18755101023174503,18.76,1876,2449,13,0.8643994601889338,86.44,0.0,0.0,0.2112656963159555,0.32076587945895557,32.08,9,0.34189244909055116,9,0.19013912668435995,11,0.42690590391737143,6,0.2857792633645328,9,False,0.047429372168420886,False,True,False,0.17287989203778675,0.0
Candidate_002,Food Service Supervisor,0.4996774193548388,49.96774193548388,0.0,0.0,0.007880444256855799,0.250260294790911,25.03,0.4168490171432495,0.37234077658013476,37.23,1061,2524,12,0.6833380235893983,68.33,0.0,0.0,0.18617038829006738,0.26698687652092684,26.7,10,0.28560391534993357,10,0.16755334946106065,12,0.3368758405506085,8,0.2252342653118199,11,False,0.37234077658013476,True,False,False,0.13666760471787967,0.0
Candidate_002,Bookkeeper,0.5088526912181303,50.88526912181303,0.19486542687625363,19.49,0.011760638309603152,0.615498211030349,61.55,0.4048367142677307,0.29844862898429786,29.84,396,422,11,0.2992257912289334,29.92,0.0,0.0,0.24665702793027575,0.23250507779697968,23.25,12,0.2571707805900073,12,0.22199132513724817,8,0.5522437270700659,3,0.5539483899273141,3,True,0.10358320210804423,False,False,False,0.05984515824578668,0.0
Candidate_002,Restaurant Manager,0.507175572519084,50.7175572519084,0.15924659660275312,15.92,0.007321324601776728,0.1976310461055258,19.76,0.37875697016716003,0.13802241260338624,13.8,1139,1473,12,0.5865008675534992,58.65,0.0,0.0,0.14863450460306968,0.2213443267328486,22.13,13,0.23620777719315558,13,0.13377105414276272,14,0.2754050103951205,12,0.1778679414949732,13,True,0.021224183999366875,False,False,False,0.11730017351069984,0.0
Candidate_002,Licensed Practical Nurse (L.P.N.),0.5015993021227101,50.15993021227101,0.04081715632489275,4.08,0.008214746474252414,0.2817277532778676,28.17,0.3987917900085449,0.2612640491252822,26.13,437,527,10,0.3039192124973743,30.39,0.0,0.0,0.15104060272508749,0.1665122644070361,16.65,14,0.18161632467954486,14,0.13593654245257875,13,0.28616604512176896,10,0.25355497795008086,10,True,0.22044689280038948,False,False,False,0.06078384249947486,0.0
Candidate_002,Delivery Driver,0.505054432348367,50.5054432348367,0.11419758977334103,11.42,0.01068671363761623,0.5144109963028012,51.44,0.3563193082809448,0.0,0.0,557,622,12,0.3705312074675783,37.05,0.0,0.0,0.057098794886670516,0.11407539791418503,11.41,15,0.11978527740285208,15,0.051388915398003464,15,0.4856350385357566,4,0.4629698966725211,4,True,0.11419758977334103,False,False,False,0.07410624149351566,0.0
Candidate_003,"Driver, Truck",0.8811881188118811,88.11881188118811,0.6958608440448676,69.59,0.01195713780356652,0.20713783901493518,20.71,0.4103018641471863,0.13690022322461215,13.69,1423,3705,12,0.8880268984746598,88.8,1.0,100.0,0.41638053363473987,0.5690717532392499,56.91,4,0.5107098066027238,7,0.47474248027126587,5,0.3433156509068801,13,0.2864240551134417,12,False,0.5589606208202554,True,False,False,0.17760537969493195,0.1
Candidate_003,Information Technology (IT) Analyst,0.8547039593171086,85.47039593171087,0.247659540769698,24.77,0.018806468917571248,0.7739667491013612,77.4,0.5648726224899292,1.0,100.0,347,357,10,0.266375870790639,26.64,0.0,0.0,0.623829770384849,0.4899560134275221,49.0,7,0.552338990466007,4,0.5614467933463642,4,0.6724485734392168,3,0.6965700741912251,3,False,0.752340459230302,True,False,False,0.053275174158127804,0.0
Candidate_003,Software Developer,0.8435089974293059,84.35089974293058,0.058203027746528434,5.82,0.021537763229894924,1.0,100.0,0.5592961311340332,0.9688617142332233,96.89,323,344,8,0.2290858604605659,22.91,0.0,0.0,0.5135323709898759,0.40528983178502626,40.53,9,0.4566430688840139,9,0.46217913389088827,6,0.8458171720921133,1,0.9,1,False,0.9106586864866949,True,False,False,0.04581717209211318,0.0
Candidate_003,Restaurant Manager,0.8625954198473282,86.25954198473282,0.3812096689165674,38.12,0.01325554183497759,0.3145896368221291,31.46,0.4175735414028168,0.17750417110847144,17.75,1139,1473,12,0.5865008675534992,58.65,0.0,0.0,0.27935692001251944,0.3128500175194634,31.29,12,0.34078570952071535,12,0.2514212280112675,12,0.3689718829684031,12,0.2831306731399162,13,True,0.20370549780809594,False,False,False,0.11730017351069984,0.0
Candidate_003,Delivery Driver,0.8689735614307932,86.89735614307932,0.4891493364278887,48.91,0.01905693904863203,0.7946948624069212,79.47,0.38578468561172485,0.0,0.0,557,622,12,0.3705312074675783,37.05,0.0,0.0,0.24457466821394436,0.2453085092432767,24.53,13,0.2697659760646711,13,0.22011720139254992,13,0.7098621314190526,2,0.7152253761662292,2,True,0.4891493364278887,True,False,False,0.07410624149351566,0.0
Candidate_003,Bookkeeper,0.8406515580736544,84.06515580736544,0.009845516401472696,0.98,0.015421698489529867,0.49385388834382576,49.39,0.4418739378452301,0.3131939158562696,31.32,396,422,11,0.2992257912289334,29.92,0.0,0.0,0.16151971612887114,0.17290895953599647,17.29,14,0.1890609311488836,14,0.14536774451598403,14,0.4549282689208473,9,0.44446849950944317,9,True,0.3033483994547969,False,False,False,0.05984515824578668,0.0
Candidate_003,Licensed Practical Nurse (L.P.N.),0.840069787728991,84.0069787728991,0.0,0.0,0.0148731167481308,0.44845500407398114,44.85,0.4244219958782196,0.2157449068876791,21.57,437,527,10,0.3039192124973743,30.39,0.0,0.0,0.10787245344383956,0.13629455991016254,13.63,15,0.1470818052545465,15,0.0970852080994556,15,0.41954784575865983,10,0.40360950366658305,11,True,0.2157449068876791,False,False,False,0.06078384249947486,0.0
Candidate_004,Secondary School Teacher,0.7770345596432553,77.70345596432553,0.7652088874501872,76.52,0.004004827330517282,0.06687152389793502,6.69,0.44333088397979736,0.37476507208178844,37.48,681,740,9,0.3635561348837076,36.36,1.0,100.0,0.5699869797659878,0.571702112812933,57.17,3,0.5287008107895318,3,0.612988281789389,3,0.12620844609508955,13,0.16018437150814152,4,False,0.3904438153683988,True,False,False,0.07271122697674152,0.1
